address,city,state,postal_code,latitude,longitude,brand,cheap,fresh,variety,friendly,city_state,state_full_name
"3970 Valley Gateway Blvd. Roanoke, VA 24012",Roanoke,VA,24012,37.3129851,-79.8799901,kroger,4,3,4,3,"Roanoke, VA",Virginia
"3635 Peters Creek Rd. Roanoke, VA 24019",Roanoke,VA,24019,37.3231544,-79.9930877,kroger,4,3,4,3,"Roanoke, VA",Virginia
"4404 Brambleton Ave Roanoke, VA 24018",Roanoke,VA,24018,37.2240862,-80.011781,kroger,4,3,4,3,"Roanoke, VA",Virginia
"161 Electric Rd Salem, VA 24153",Salem,VA,24153,37.2967495,-80.0291275,kroger,4,3,4,3,"Salem, VA",Virginia
"1925 Electric Rd Salem, VA 24153",Salem,VA,24153,37.2643375,-80.0350184,kroger,4,3,4,3,"Salem, VA",Virginia
"7223 Williamson Rd Roanoke, VA 24019",Roanoke,VA,24019,37.3454411,-79.9545141,kroger,4,3,4,3,"Roanoke, VA",Virginia
"1477 W Main St Salem, VA 24153",Salem,VA,24153,37.2906453,-80.0831415,kroger,4,3,4,3,"Salem, VA",Virginia
"72 Kingston Dr Daleville, VA 24083",Daleville,VA,24083,37.3968707,-79.9111764,kroger,4,3,4,3,"Daleville, VA",Virginia
"80 Westlake Rd Hardy, VA 24101",Hardy,VA,24101,37.1179775,-79.7190137,kroger,4,3,4,3,"Hardy, VA",Virginia
"400 Old Franklin Tpke Ste 110 Rocky Mount, VA 24151",Rocky Mount,VA,24151,37.0115094,-79.8658615,kroger,4,3,4,3,"Rocky Mount, VA",Virginia
"1322 S Main St Blacksburg, VA 24060",Blacksburg,VA,24060,37.2167784,-80.4027343,kroger,4,3,4,3,"Blacksburg, VA",Virginia
"903 University City Blvd Blacksburg, VA 24060",Blacksburg,VA,24060,37.2354892,-80.4352626,kroger,4,3,4,3,"Blacksburg, VA",Virginia
"555 N Franklin St Christiansburg, VA 24073",Christiansburg,VA,24073,37.1361244,-80.4117031,kroger,4,3,4,3,"Christiansburg, VA",Virginia
"7480 Lee Hwy Fairlawn, VA 24141",Fairlawn,VA,24141,37.1416095,-80.5804881,kroger,4,3,4,3,"Fairlawn, VA",Virginia
"240 Commonwealth Blvd W Martinsville, VA 24112",Martinsville,VA,24112,36.697591,-79.8760504,kroger,4,3,4,3,"Martinsville, VA",Virginia
"178 Red Oaks Shopping Center Ronceverte, WV 24970",Ronceverte,WV,24970,37.7682688,-80.467048,kroger,4,3,4,3,"Ronceverte, WV",West Virginia
"2835 Reynolda Rd Winston-Salem, NC 27106",Winston-Salem,NC,27106,36.1458915,-80.2988756,kroger,4,3,4,3,"Winston-Salem, NC",North Carolina
"5365 Robinhood Village Dr Winston-Salem, NC 27106",Winston-Salem,NC,27106,36.1228478,-80.3682477,kroger,4,3,4,3,"Winston-Salem, NC",North Carolina
"1955 North Peace Haven Road WINSTON SALEM, NC 27106",Winston Salem,NC,27106,36.117995,-80.3106846,kroger,4,3,4,3,"Winston Salem, NC",North Carolina
"150 Grant Hill Lane WINSTON-SALEM, NC 27104",Winston-Salem,NC,27104,36.0839327,-80.3469458,kroger,4,3,4,3,"Winston-Salem, NC",North Carolina
"420-22 South Stratford Road Winston Salem, NC 27103",Winston Salem,NC,27103,36.0901912,-80.2857454,kroger,4,3,4,3,"Winston Salem, NC",North Carolina
"2281 Cloverdale Avenue Winston Salem, NC 27103",Winston Salem,NC,27103,36.0911576,-80.2762412,kroger,4,3,4,3,"Winston Salem, NC",North Carolina
"4150 Clemmons Road Clemmons, NC 27012",Clemmons,NC,27012,36.0201037,-80.4072122,kroger,4,3,4,3,"Clemmons, NC",North Carolina
"971 S. Main Street Kernersville, NC 27284",Kernersville,NC,27284,36.1072364,-80.0947009,kroger,4,3,4,3,"Kernersville, NC",North Carolina
"4010 Battleground Avenue Greensboro, NC 27410",Greensboro,NC,27410,36.1475796,-79.8667224,kroger,4,3,4,3,"Greensboro, NC",North Carolina
"1229 Stafford Dr Princeton, WV 24740",Princeton,WV,24740,37.3606644,-81.0950314,kroger,4,3,4,3,"Princeton, WV",West Virginia
"308 Stokes Dr Hinton, WV 25951",Hinton,WV,25951,37.6600022,-80.8910937,kroger,4,3,4,3,"Hinton, WV",West Virginia
"240 Main Street Hinton, WV 25951",Hinton,WV,25951,37.6658645,-80.8942096,kroger,4,3,4,3,"Hinton, WV",West Virginia
"401 Pisgah Church Rd Greensboro, NC 27455",Greensboro,NC,27455,36.130463,-79.795623,kroger,4,3,4,3,"Greensboro, NC",North Carolina
"1605 New Garden Rd Greensboro, NC 27410",Greensboro,NC,27410,36.1187048,-79.8759174,kroger,4,3,4,3,"Greensboro, NC",North Carolina
"2639 Lawndale Dr GREENSBORO, NC 27408",Greensboro,NC,27408,36.1033674,-79.8213949,kroger,4,3,4,3,"Greensboro, NC",North Carolina
"701 Francis King Street GREENSBORO, NC 27410",Greensboro,NC,27410,36.0885565,-79.8910518,kroger,4,3,4,3,"Greensboro, NC",North Carolina
"3330 West Friendly Ave Greensboro, NC 27410",Greensboro,NC,27410,36.0881243,-79.8377251,kroger,4,3,4,3,"Greensboro, NC",North Carolina
